price,beds_baths_area,address
"30,000",01396 sqft,"Azizi Plaza, Al Furjan"
"250,000","363,881 sqft",Emirates Crown Marina
"90,000",11821 sqft,Azure Marina
"210,000","342,182 sqft","Al Basri, Shoreline Apartments, Palm Jumeirah"
"70,000",11736 sqft,Elite Residence Marina
"144,999","443,130 sqft","Golden Sands 9, Al Mankhool, Bur Dubai"
"89,000","332,030 sqft","Silver Sands 2, Al Mankhool, Bur Dubai"
"32,000",01357 sqft,"Samana Hills, Arjan"
"84,000",12921 sqft,ANWA Maritime City
"70,000",11825 sqft,"Creek Rise 1 Tower, Creek Rise Creek Harbour, The Lagoons"
"45,000","121,326 sqft","Elite Sports Residence 4, Elite Sports Residence Sports City"
"109,999","341,991 sqft","Roxana Residence A, Roxana Residences, JVC District 12, Jumeirah Village Circle (JVC)"
"48,000",12581 sqft,"Samana Hills, Arjan"
"110,000",12947 sqft,"The Residence 3, The Residences, Downtown Dubai"
"95,000","231,377 sqft",Emerald Residence Marina
"170,000","231,190 sqft","Downtown Views, Downtown Dubai"
"85,000","231,727 sqft","New Bridge Hill 1, New Bridge Hill, Uptown Motor City, Motor City"
"300,000","353,442 sqft",La Residence Del Mar Marina
"225,000","341,784 sqft","Vida Residence 4, Vida Residence (The Hills), The Hills"
"160,000","331,613 sqft","Creekside 18 Tower A, Creekside 18 Creek Harbour, The Lagoons"
"340,000","351,821 sqft","Boulevard Point, Downtown Dubai"
"44,990",12950 sqft,"API Arjan Two Building, Arjan"
"84,999","331,425 sqft","Binghatti Avenue, Al Jaddaf"
"42,999",12900 sqft,"Abdul Wahed Bin Shabib Building, Arjan"
"125,000","231,293 sqft","Rimal 1, Rimal, Jumeirah Beach Residence (JBR)"
"170,000","221,785 sqft","The Onyx Tower 2, The Onyx, The Greens"
"81,999","221,300 sqft","Golden Sands 9, Al Mankhool, Bur Dubai"
"30,000",01416 sqft,"Diamond Views II, Diamond Views, JVC District 14, Jumeirah Village Circle (JVC)"
